date,Bitcoin,isPartial
2015-01-04,3,FALSE
2015-01-11,3,FALSE
2015-01-18,2,FALSE
2015-01-25,2,FALSE
2015-02-01,2,FALSE
2015-02-08,2,FALSE
2015-02-15,2,FALSE
2015-02-22,2,FALSE
2015-03-01,2,FALSE
2015-03-08,2,FALSE
2015-03-15,2,FALSE
2015-03-22,2,FALSE
2015-03-29,2,FALSE
2015-04-05,2,FALSE
2015-04-12,2,FALSE
2015-04-19,2,FALSE
2015-04-26,2,FALSE
2015-05-03,2,FALSE
2015-05-10,2,FALSE
2015-05-17,2,FALSE
2015-05-24,2,FALSE
2015-05-31,2,FALSE
2015-06-07,1,FALSE
2015-06-14,2,FALSE
2015-06-21,2,FALSE
2015-06-28,2,FALSE
2015-07-05,2,FALSE
2015-07-12,2,FALSE
2015-07-19,2,FALSE
2015-07-26,2,FALSE
2015-08-02,2,FALSE
2015-08-09,2,FALSE
2015-08-16,2,FALSE
2015-08-23,2,FALSE
2015-08-30,2,FALSE
2015-09-06,2,FALSE
2015-09-13,2,FALSE
2015-09-20,2,FALSE
2015-09-27,2,FALSE
2015-10-04,2,FALSE
2015-10-11,2,FALSE
2015-10-18,2,FALSE
2015-10-25,2,FALSE
2015-11-01,4,FALSE
2015-11-08,3,FALSE
2015-11-15,2,FALSE
2015-11-22,2,FALSE
2015-11-29,2,FALSE
2015-12-06,4,FALSE
2015-12-13,3,FALSE
2015-12-20,2,FALSE
2015-12-27,2,FALSE
2016-01-03,2,FALSE
2016-01-10,3,FALSE
2016-01-17,3,FALSE
2016-01-24,2,FALSE
2016-01-31,2,FALSE
2016-02-07,2,FALSE
2016-02-14,3,FALSE
2016-02-21,2,FALSE
2016-02-28,2,FALSE
2016-03-06,2,FALSE
2016-03-13,2,FALSE
2016-03-20,2,FALSE
2016-03-27,2,FALSE
2016-04-03,2,FALSE
2016-04-10,2,FALSE
2016-04-17,2,FALSE
2016-04-24,3,FALSE
2016-05-01,4,FALSE
2016-05-08,2,FALSE
2016-05-15,2,FALSE
2016-05-22,2,FALSE
2016-05-29,3,FALSE
2016-06-05,3,FALSE
2016-06-12,4,FALSE
2016-06-19,4,FALSE
2016-06-26,3,FALSE
2016-07-03,3,FALSE
2016-07-10,3,FALSE
2016-07-17,2,FALSE
2016-07-24,2,FALSE
2016-07-31,3,FALSE
2016-08-07,3,FALSE
2016-08-14,2,FALSE
2016-08-21,2,FALSE
2016-08-28,2,FALSE
2016-09-04,3,FALSE
2016-09-11,3,FALSE
2016-09-18,2,FALSE
2016-09-25,2,FALSE
2016-10-02,2,FALSE
2016-10-09,3,FALSE
2016-10-16,3,FALSE
2016-10-23,3,FALSE
2016-10-30,3,FALSE
2016-11-06,3,FALSE
2016-11-13,3,FALSE
2016-11-20,3,FALSE
2016-11-27,3,FALSE
2016-12-04,3,FALSE
2016-12-11,3,FALSE
2016-12-18,4,FALSE
2016-12-25,5,FALSE
2017-01-01,7,FALSE
2017-01-08,6,FALSE
2017-01-15,4,FALSE
2017-01-22,4,FALSE
2017-01-29,4,FALSE
2017-02-05,5,FALSE
2017-02-12,4,FALSE
2017-02-19,5,FALSE
2017-02-26,6,FALSE
2017-03-05,7,FALSE
2017-03-12,6,FALSE
2017-03-19,5,FALSE
2017-03-26,5,FALSE
2017-04-02,5,FALSE
2017-04-09,5,FALSE
2017-04-16,5,FALSE
2017-04-23,5,FALSE
2017-04-30,7,FALSE
2017-05-07,10,FALSE
2017-05-14,11,FALSE
2017-05-21,19,FALSE
2017-05-28,12,FALSE
2017-06-04,12,FALSE
2017-06-11,13,FALSE
2017-06-18,11,FALSE
2017-06-25,11,FALSE
2017-07-02,9,FALSE
2017-07-09,10,FALSE
2017-07-16,12,FALSE
2017-07-23,10,FALSE
2017-07-30,16,FALSE
2017-08-06,14,FALSE
2017-08-13,20,FALSE
2017-08-20,16,FALSE
2017-08-27,17,FALSE
2017-09-03,18,FALSE
2017-09-10,21,FALSE
2017-09-17,16,FALSE
2017-09-24,13,FALSE
2017-10-01,12,FALSE
2017-10-08,19,FALSE
2017-10-15,19,FALSE
2017-10-22,21,FALSE
2017-10-29,27,FALSE
2017-11-05,29,FALSE
2017-11-12,31,FALSE
2017-11-19,28,FALSE
2017-11-26,63,FALSE
2017-12-03,86,FALSE
2017-12-10,88,FALSE
2017-12-17,100,FALSE
2017-12-24,65,FALSE
2017-12-31,45,FALSE
2018-01-07,44,FALSE
2018-01-14,57,FALSE
2018-01-21,37,FALSE
2018-01-28,40,FALSE
2018-02-04,48,FALSE
2018-02-11,27,FALSE
2018-02-18,25,FALSE
2018-02-25,20,FALSE
2018-03-04,21,FALSE
2018-03-11,19,FALSE
2018-03-18,18,FALSE
2018-03-25,18,FALSE
2018-04-01,18,FALSE
2018-04-08,16,FALSE
2018-04-15,14,FALSE
2018-04-22,14,FALSE
2018-04-29,12,FALSE
2018-05-06,13,FALSE
2018-05-13,11,FALSE
2018-05-20,11,FALSE
2018-05-27,11,FALSE
2018-06-03,9,FALSE
2018-06-10,12,FALSE
2018-06-17,10,FALSE
2018-06-24,11,FALSE
2018-07-01,10,FALSE
2018-07-08,9,FALSE
2018-07-15,11,FALSE
2018-07-22,12,FALSE
2018-07-29,11,FALSE
2018-08-05,12,FALSE
2018-08-12,11,FALSE
2018-08-19,10,FALSE
2018-08-26,10,FALSE
2018-09-02,11,FALSE
2018-09-09,10,FALSE
2018-09-16,9,FALSE
2018-09-23,9,FALSE
2018-09-30,8,FALSE
2018-10-07,8,FALSE
2018-10-14,8,FALSE
2018-10-21,7,FALSE
2018-10-28,8,FALSE
2018-11-04,8,FALSE
2018-11-11,10,FALSE
2018-11-18,14,FALSE
2018-11-25,14,FALSE
2018-12-02,12,FALSE
2018-12-09,11,FALSE
2018-12-16,11,FALSE
2018-12-23,10,FALSE
2018-12-30,9,FALSE
2019-01-06,9,FALSE
2019-01-13,8,FALSE
2019-01-20,7,FALSE
2019-01-27,7,FALSE
2019-02-03,8,FALSE
2019-02-10,7,FALSE
2019-02-17,8,FALSE
2019-02-24,7,FALSE
2019-03-03,7,FALSE
2019-03-10,7,FALSE
2019-03-17,7,FALSE
2019-03-24,7,FALSE
2019-03-31,12,FALSE
2019-04-07,10,FALSE
2019-04-14,9,FALSE
2019-04-21,9,FALSE
2019-04-28,9,FALSE
2019-05-05,11,FALSE
2019-05-12,19,FALSE
2019-05-19,14,FALSE
2019-05-26,14,FALSE
2019-06-02,11,FALSE
2019-06-09,11,FALSE
2019-06-16,16,FALSE
2019-06-23,26,FALSE
2019-06-30,17,FALSE
2019-07-07,16,FALSE
2019-07-14,17,FALSE
2019-07-21,14,FALSE
2019-07-28,12,FALSE
2019-08-04,15,FALSE
2019-08-11,13,FALSE
2019-08-18,11,FALSE
2019-08-25,11,FALSE
2019-09-01,11,FALSE
2019-09-08,10,FALSE
2019-09-15,9,FALSE
2019-09-22,12,FALSE
2019-09-29,10,FALSE
2019-10-06,9,FALSE
2019-10-13,9,FALSE
2019-10-20,10,FALSE
2019-10-27,11,FALSE
2019-11-03,9,FALSE
2019-11-10,8,FALSE
2019-11-17,10,FALSE
2019-11-24,10,FALSE
2019-12-01,9,FALSE
2019-12-08,8,FALSE
2019-12-15,9,FALSE
2019-12-22,8,FALSE
2019-12-29,9,FALSE
2020-01-05,14,FALSE
2020-01-12,14,FALSE
2020-01-19,13,FALSE
2020-01-26,13,FALSE
2020-02-02,14,FALSE
2020-02-09,17,FALSE
2020-02-16,15,FALSE
2020-02-23,15,FALSE
2020-03-01,14,FALSE
2020-03-08,25,FALSE
2020-03-15,27,FALSE
2020-03-22,19,FALSE
2020-03-29,17,FALSE
2020-04-05,17,FALSE
2020-04-12,16,FALSE
2020-04-19,16,FALSE
2020-04-26,21,FALSE
2020-05-03,23,FALSE
2020-05-10,27,FALSE
2020-05-17,18,FALSE
2020-05-24,17,FALSE
2020-05-31,17,FALSE
2020-06-07,15,FALSE
2020-06-14,14,FALSE
2020-06-21,13,FALSE
2020-06-28,13,FALSE
2020-07-05,13,FALSE
2020-07-12,15,FALSE
2020-07-19,13,FALSE
2020-07-26,22,FALSE
2020-08-02,19,FALSE
2020-08-09,17,FALSE
2020-08-16,17,FALSE
2020-08-23,15,FALSE
2020-08-30,15,FALSE
2020-09-06,14,FALSE
2020-09-13,13,FALSE
2020-09-20,12,FALSE
2020-09-27,11,FALSE
2020-10-04,11,FALSE
2020-10-11,12,FALSE
2020-10-18,16,FALSE
2020-10-25,18,FALSE
2020-11-01,19,FALSE
2020-11-08,21,FALSE
2020-11-15,29,FALSE
2020-11-22,31,FALSE
2020-11-29,28,FALSE
2020-12-06,22,FALSE
2020-12-13,35,FALSE
2020-12-20,37,FALSE
2020-12-27,55,FALSE
2021-01-03,90,FALSE
2021-01-10,85,FALSE
2021-01-17,55,FALSE
2021-01-24,50,FALSE
2021-01-31,46,FALSE
2021-02-07,79,FALSE
2021-02-14,77,FALSE
2021-02-21,83,FALSE
2021-02-28,55,FALSE
2021-03-07,55,FALSE
2021-03-14,53,FALSE
2021-03-21,49,FALSE
2021-03-28,49,FALSE
2021-04-04,42,FALSE
2021-04-11,56,FALSE
2021-04-18,71,FALSE
2021-04-25,51,FALSE
2021-05-02,46,FALSE
2021-05-09,61,FALSE
2021-05-16,100,FALSE
2021-05-23,71,FALSE
2021-05-30,53,FALSE
2021-06-06,52,FALSE
2021-06-13,43,FALSE
2021-06-20,51,FALSE
2021-06-27,38,FALSE
2021-07-04,31,FALSE
2021-07-11,30,FALSE
2021-07-18,35,FALSE
2021-07-25,40,FALSE
2021-08-01,32,FALSE
2021-08-08,40,FALSE
2021-08-15,33,FALSE
2021-08-22,34,FALSE
2021-08-29,30,FALSE
2021-09-05,40,FALSE
2021-09-12,28,FALSE
2021-09-19,35,FALSE
2021-09-26,28,FALSE
2021-10-03,34,FALSE
2021-10-10,39,FALSE
2021-10-17,47,FALSE
2021-10-24,40,FALSE
2021-10-31,32,FALSE
2021-11-07,38,FALSE
2021-11-14,38,FALSE
2021-11-21,37,FALSE
2021-11-28,38,FALSE
2021-12-05,42,FALSE
2021-12-12,36,FALSE
2021-12-19,33,FALSE
2021-12-26,32,FALSE
2022-01-02,41,FALSE
2022-01-09,40,FALSE
2022-01-16,40,FALSE
2022-01-23,54,FALSE
2022-01-30,40,FALSE
2022-02-06,38,FALSE
2022-02-13,32,FALSE
2022-02-20,41,FALSE
2022-02-27,39,FALSE
2022-03-06,34,FALSE
2022-03-13,29,FALSE
2022-03-20,29,FALSE
2022-03-27,32,FALSE
2022-04-03,28,FALSE
2022-04-10,26,FALSE
2022-04-17,23,FALSE
2022-04-24,24,FALSE
2022-05-01,25,FALSE
2022-05-08,59,FALSE
2022-05-15,38,FALSE
2022-05-22,32,FALSE
2022-05-29,27,FALSE
2022-06-05,26,FALSE
2022-06-12,69,FALSE
2022-06-19,52,FALSE
2022-06-26,37,FALSE
2022-07-03,34,FALSE
2022-07-10,30,FALSE
2022-07-17,33,FALSE
2022-07-24,28,FALSE
2022-07-31,25,FALSE
2022-08-07,24,FALSE
2022-08-14,24,FALSE
2022-08-21,23,FALSE
2022-08-28,24,FALSE
2022-09-04,22,FALSE
2022-09-11,23,TRUE
